       26.,    0.994668540000000E+08,    0.105167173000000E+09,    0.841247950000000E+08,    0.872629562500000E+07,   -0.436260480000000E+08,   -0.351617255000000E+08
       27.,    0.812252900000000E+08,    0.870357880000000E+08,    0.940300260000000E+08,    0.562147550000000E+07,   -0.350285750000000E+08,   -0.267702545000000E+08
       28.,    0.909695250000000E+08,    0.980012360000000E+08,    0.960211580000000E+08,    0.700208331250000E+07,   -0.430227600000000E+08,   -0.333363280000000E+08
       29.,    0.906355160000000E+08,    0.939325480000000E+08,    0.830801120000000E+08,    0.632345650000000E+07,   -0.348880130000000E+08,   -0.301798580000000E+08
       30.,    0.100490344000000E+09,    0.104260527000000E+09,    0.833507210000000E+08,    0.774394637500000E+07,   -0.415814350000000E+08,   -0.364236640000000E+08
       31.,    0.819180340000000E+08,    0.865962200000000E+08,    0.930875820000000E+08,    0.491056225000000E+07,   -0.334583385000000E+08,   -0.276775075000000E+08
       32.,    0.918431040000000E+08,    0.974344640000000E+08,    0.950277390000000E+08,    0.610117418750000E+07,   -0.410043025000000E+08,   -0.345968635000000E+08
       33.,    0.915226540000000E+08,    0.935444340000000E+08,    0.826662860000000E+08,    0.575157137500000E+07,   -0.332331330000000E+08,   -0.312443780000000E+08
       34.,    0.101645847000000E+09,    0.103705435000000E+09,    0.829629140000000E+08,    0.701950418750000E+07,   -0.396910220000000E+08,   -0.378387945000000E+08
       35.,    0.826822520000000E+08,    0.863835600000000E+08,    0.925383480000000E+08,    0.437252575000000E+07,   -0.318676225000000E+08,   -0.288710230000000E+08
       36.,    0.929126760000000E+08,    0.971843090000000E+08,    0.944105890000000E+08,    0.544828625000000E+07,   -0.391033590000000E+08,   -0.359673290000000E+08
       37.,    0.925375320000000E+08,    0.933139760000000E+08,    0.825118560000000E+08,    0.531980650000000E+07,   -0.316746610000000E+08,   -0.326381565000000E+08
       38.,    0.103042750000000E+09,    0.103526632000000E+09,    0.828549300000000E+08,    0.649971056250000E+07,   -0.378176030000000E+08,   -0.394595765000000E+08
       39.,    0.837343300000000E+08,    0.862969500000000E+08,    0.921834600000000E+08,    0.404968087500000E+07,   -0.303048995000000E+08,   -0.301137155000000E+08
       40.,    0.942324610000000E+08,    0.972449470000000E+08,    0.942036160000000E+08,    0.507326337500000E+07,   -0.372195620000000E+08,   -0.375806425000000E+08
       41.,    0.936731820000000E+08,    0.932176180000000E+08,    0.825479120000000E+08,    0.511206475000000E+07,   -0.302824290000000E+08,   -0.338917580000000E+08
       42.,    0.104474981000000E+09,    0.103634008000000E+09,    0.830085660000000E+08,    0.626399912500000E+07,   -0.361970960000000E+08,   -0.410220910000000E+08
       43.,    0.848045840000000E+08,    0.864038860000000E+08,    0.921650400000000E+08,    0.391157875000000E+07,   -0.288974830000000E+08,   -0.313193690000000E+08
       44.,    0.956477140000000E+08,    0.974356020000000E+08,    0.942508340000000E+08,    0.491734618750000E+07,   -0.355563575000000E+08,   -0.391616580000000E+08
       45.,    0.948743020000000E+08,    0.933644260000000E+08,    0.827386080000000E+08,    0.504114650000000E+07,   -0.288611660000000E+08,   -0.351808510000000E+08
       46.,    0.106006155000000E+09,    0.103896913000000E+09,    0.833342270000000E+08,    0.620114268750000E+07,   -0.346291545000000E+08,   -0.426375545000000E+08
       47.,    0.860062520000000E+08,    0.865886720000000E+08,    0.923703320000000E+08,    0.391854218750000E+07,   -0.274933940000000E+08,   -0.326821850000000E+08
       48.,    0.972426950000000E+08,    0.977320320000000E+08,    0.945285040000000E+08,    0.494976750000000E+07,   -0.339478550000000E+08,   -0.407841385000000E+08
       49.,    0.959981840000000E+08,    0.934555300000000E+08,    0.829882680000000E+08,    0.505704075000000E+07,   -0.275533325000000E+08,   -0.364125360000000E+08
       50.,    0.107597459000000E+09,    0.104213923000000E+09,    0.838062620000000E+08,    0.627491943750000E+07,   -0.332105285000000E+08,   -0.441543625000000E+08
       51.,    0.872531080000000E+08,    0.866930440000000E+08,    0.926125980000000E+08,    0.394717043750000E+07,   -0.262274995000000E+08,   -0.339050360000000E+08
       52.,    0.989036020000000E+08,    0.980448670000000E+08,    0.949991300000000E+08,    0.506043831250000E+07,   -0.324482360000000E+08,   -0.423105805000000E+08
       53.,    0.970171840000000E+08,    0.935038180000000E+08,    0.832533380000000E+08,    0.506200262500000E+07,   -0.263848060000000E+08,   -0.375285330000000E+08
       54.,    0.108966988000000E+09,    0.104410384000000E+09,    0.841947590000000E+08,    0.629269537500000E+07,   -0.317926025000000E+08,   -0.455563230000000E+08
       55.,    0.884461940000000E+08,    0.866600720000000E+08,    0.928520100000000E+08,    0.401374812500000E+07,   -0.249515675000000E+08,   -0.349551580000000E+08
       56.,    0.100343553000000E+09,    0.980937710000000E+08,    0.953515700000000E+08,    0.513519050000000E+07,   -0.309671967500000E+08,   -0.437910570000000E+08
       57.,    0.979899000000000E+08,    0.934475740000000E+08,    0.835385080000000E+08,    0.503716575000000E+07,   -0.251412100000000E+08,   -0.385184300000000E+08
       58.,    0.110014727000000E+09,    0.104419398000000E+09,    0.845016180000000E+08,    0.632039687500000E+07,   -0.303507207500000E+08,   -0.468084280000000E+08
       59.,    0.893491900000000E+08,    0.866154900000000E+08,    0.931532160000000E+08,    0.400468731250000E+07,   -0.237293555000000E+08,   -0.360645100000000E+08
       60.,    0.101628491000000E+09,    0.979301660000000E+08,    0.956681330000000E+08,    0.510571850000000E+07,   -0.294893307500000E+08,   -0.450514180000000E+08
       61.,    0.985281920000000E+08,    0.933232480000000E+08,    0.836560420000000E+08,    0.498779450000000E+07,   -0.238202925000000E+08,   -0.393786820000000E+08
