nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure
       381, 4.327648016E-03, 6.697870855E-03, 1.240220716E-03, 9.999990518E+06
       382, 4.244170312E-03, 6.752544647E-03, 1.240220601E-03, 9.999990627E+06
       383, 4.158702713E-03, 6.804060486E-03, 1.240220800E-03, 9.999990711E+06
       384, 4.073253721E-03, 6.855565109E-03, 1.240220757E-03, 9.999990765E+06
       385, 3.987804093E-03, 6.907079139E-03, 1.240220754E-03, 9.999990778E+06
       386, 7.975600465E-03, 1.062897003E-10, 1.446924213E-03, 9.999993413E+06
       387, 7.973731515E-03, 9.916261019E-05, 1.446924179E-03, 9.999993383E+06
       388, 7.971862937E-03, 1.983222680E-04, 1.446924186E-03, 9.999993273E+06
       389, 7.969993942E-03, 2.975041068E-04, 1.446924381E-03, 9.999993092E+06
       390, 7.964484727E-03, 3.965485532E-04, 1.446924206E-03, 9.999992861E+06
       391, 7.958863492E-03, 4.955726579E-04, 1.446924210E-03, 9.999992512E+06
       392, 7.953241380E-03, 5.946122012E-04, 1.446924162E-03, 9.999992080E+06
       393, 7.944174284E-03, 6.933967184E-04, 1.446924207E-03, 9.999991525E+06
       394, 7.923905998E-03, 9.063082377E-04, 1.446924102E-03, 9.999990266E+06
       395, 7.895516804E-03, 1.118292107E-03, 1.446924170E-03, 9.999988594E+06
       396, 7.862548440E-03, 1.329594408E-03, 1.446924196E-03, 9.999986702E+06
       397, 7.825094412E-03, 1.540147625E-03, 1.446924154E-03, 9.999984786E+06
       398, 7.780232828E-03, 1.749237314E-03, 1.446924292E-03, 9.999983220E+06
       399, 7.730175328E-03, 1.957119774E-03, 1.446924227E-03, 9.999982196E+06
       400, 7.676125666E-03, 2.164025282E-03, 1.446924084E-03, 9.999981832E+06
       401, 7.615232409E-03, 2.369032146E-03, 1.446924187E-03, 9.999982058E+06
       402, 7.548773974E-03, 2.572291054E-03, 1.446924209E-03, 9.999982897E+06
       403, 7.477103797E-03, 2.773751543E-03, 1.446924210E-03, 9.999984706E+06
       404, 7.400053905E-03, 2.973224041E-03, 1.446924235E-03, 9.999987665E+06
       405, 7.317681837E-03, 3.170560724E-03, 1.446924196E-03, 9.999991814E+06
       406, 7.230051689E-03, 3.365607851E-03, 1.446924207E-03, 9.999996071E+06
       407, 7.187408744E-03, 3.456079536E-03, 1.446924193E-03, 9.999998468E+06
       408, 7.143310016E-03, 3.545844024E-03, 1.446924162E-03, 1.000000039E+07
       409, 7.098585032E-03, 3.635298967E-03, 1.446924193E-03, 1.000000203E+07
       410, 7.052098517E-03, 3.723851625E-03, 1.446924186E-03, 1.000000325E+07
       411, 7.005315028E-03, 3.812248896E-03, 1.446924206E-03, 1.000000403E+07
       412, 6.956473315E-03, 3.899525399E-03, 1.446924203E-03, 1.000000431E+07
       413, 6.907631627E-03, 3.986801857E-03, 1.446924207E-03, 1.000000406E+07
       414, 6.856698060E-03, 4.072413233E-03, 1.446924229E-03, 1.000000330E+07
       415, 6.805735739E-03, 4.158012976E-03, 1.446924202E-03, 1.000000208E+07
       416, 6.752854283E-03, 4.242436809E-03, 1.446924249E-03, 1.000000041E+07
       417, 6.699618357E-03, 4.326639909E-03, 1.446924200E-03, 9.999998407E+06
       418, 6.644812688E-03, 4.409835281E-03, 1.446924207E-03, 9.999996090E+06
       419, 6.589340058E-03, 4.492585223E-03, 1.446924209E-03, 9.999993629E+06
       420, 6.532640168E-03, 4.574501168E-03, 1.446924207E-03, 9.999990832E+06
       421, 6.407709586E-03, 4.748141686E-03, 1.446924206E-03, 9.999986311E+06
       422, 6.277943164E-03, 4.918205616E-03, 1.446924217E-03, 9.999982388E+06
       423, 6.143766861E-03, 5.084814575E-03, 1.446924217E-03, 9.999979910E+06
       424, 6.005174762E-03, 5.247756583E-03, 1.446924159E-03, 9.999978491E+06
       425, 5.862416249E-03, 5.407058430E-03, 1.446924198E-03, 9.999977789E+06
       426, 5.715343770E-03, 5.562407005E-03, 1.446924304E-03, 9.999977512E+06
       427, 5.563229227E-03, 5.712813208E-03, 1.446924153E-03, 9.999977775E+06
       428, 5.408290745E-03, 5.860286743E-03, 1.446924183E-03, 9.999978618E+06
       429, 5.249589855E-03, 6.003732266E-03, 1.446924227E-03, 9.999979903E+06
       430, 5.086034087E-03, 6.141615575E-03, 1.446924165E-03, 9.999981411E+06
       431, 4.919594357E-03, 6.275975256E-03, 1.446924164E-03, 9.999982856E+06
       432, 4.750209108E-03, 6.406633965E-03, 1.446924238E-03, 9.999984080E+06
       433, 4.575965171E-03, 6.530753971E-03, 1.446924207E-03, 9.999984950E+06
       434, 4.494545248E-03, 6.588452637E-03, 1.446924172E-03, 9.999985319E+06
       435, 4.411091515E-03, 6.643165101E-03, 1.446924214E-03, 9.999985595E+06
       436, 4.327646892E-03, 6.697871592E-03, 1.446924179E-03, 9.999985818E+06
       437, 4.244169342E-03, 6.752545232E-03, 1.446924062E-03, 9.999985963E+06
       438, 4.158702287E-03, 6.804060743E-03, 1.446924259E-03, 9.999986069E+06
       439, 4.073253518E-03, 6.855565232E-03, 1.446924215E-03, 9.999986136E+06
       440, 3.987804721E-03, 6.907080233E-03, 1.446924213E-03, 9.999986156E+06
       441, 7.975600461E-03, 1.014583502E-10, 1.653627671E-03, 9.999988032E+06
       442, 7.973731516E-03, 9.916257645E-05, 1.653627639E-03, 9.999987993E+06
       443, 7.971862928E-03, 1.983227655E-04, 1.653627648E-03, 9.999987867E+06
       444, 7.969993935E-03, 2.975044739E-04, 1.653627841E-03, 9.999987662E+06
       445, 7.964484687E-03, 3.965492607E-04, 1.653627664E-03, 9.999987390E+06
       446, 7.958863467E-03, 4.955730946E-04, 1.653627668E-03, 9.999986995E+06
       447, 7.953241363E-03, 5.946125005E-04, 1.653627620E-03, 9.999986515E+06
       448, 7.944174274E-03, 6.933968234E-04, 1.653627665E-03, 9.999985890E+06
       449, 7.923906060E-03, 9.063075835E-04, 1.653627560E-03, 9.999984494E+06
       450, 7.895517015E-03, 1.118290538E-03, 1.653627630E-03, 9.999982661E+06
       451, 7.862548920E-03, 1.329591651E-03, 1.653627657E-03, 9.999980604E+06
       452, 7.825095236E-03, 1.540143784E-03, 1.653627614E-03, 9.999978557E+06
       453, 7.780233845E-03, 1.749232574E-03, 1.653627751E-03, 9.999976923E+06
       454, 7.730176734E-03, 1.957114283E-03, 1.653627687E-03, 9.999975879E+06
       455, 7.676127518E-03, 2.164018850E-03, 1.653627545E-03, 9.999975520E+06
       456, 7.615234648E-03, 2.369024911E-03, 1.653627646E-03, 9.999975743E+06
       457, 7.548776587E-03, 2.572283255E-03, 1.653627667E-03, 9.999976542E+06
       458, 7.477106538E-03, 2.773744030E-03, 1.653627668E-03, 9.999978291E+06
       459, 7.400056933E-03, 2.973216384E-03, 1.653627692E-03, 9.999981239E+06
       460, 7.317685210E-03, 3.170552816E-03, 1.653627655E-03, 9.999985442E+06
       461, 7.230055307E-03, 3.365599958E-03, 1.653627665E-03, 9.999989757E+06
       462, 7.187411913E-03, 3.456073087E-03, 1.653627652E-03, 9.999992182E+06
       463, 7.143312418E-03, 3.545839134E-03, 1.653627621E-03, 9.999994134E+06
       464, 7.098586826E-03, 3.635295549E-03, 1.653627652E-03, 9.999995800E+06
       465, 7.052099623E-03, 3.723849519E-03, 1.653627644E-03, 9.999997031E+06
       466, 7.005315518E-03, 3.812248020E-03, 1.653627664E-03, 9.999997827E+06
       467, 6.956473155E-03, 3.899525685E-03, 1.653627661E-03, 9.999998102E+06
       468, 6.907630844E-03, 3.986803256E-03, 1.653627665E-03, 9.999997852E+06
       469, 6.856697496E-03, 4.072414181E-03, 1.653627687E-03, 9.999997074E+06
       470, 6.805735457E-03, 4.158013449E-03, 1.653627661E-03, 9.999995831E+06
       471, 6.752854227E-03, 4.242436898E-03, 1.653627706E-03, 9.999994120E+06
       472, 6.699618513E-03, 4.326639661E-03, 1.653627658E-03, 9.999992073E+06
       473, 6.644813116E-03, 4.409834643E-03, 1.653627664E-03, 9.999989700E+06
       474, 6.589340696E-03, 4.492584273E-03, 1.653627667E-03, 9.999987184E+06
       475, 6.532640990E-03, 4.574500009E-03, 1.653627665E-03, 9.999984328E+06
       476, 6.407645543E-03, 4.748092015E-03, 1.653627666E-03, 9.999979695E+06
       477, 6.277944467E-03, 4.918203973E-03, 1.653627675E-03, 9.999975706E+06
       478, 6.143768372E-03, 5.084812771E-03, 1.653627676E-03, 9.999973237E+06
       479, 6.005176024E-03, 5.247755155E-03, 1.653627622E-03, 9.999971830E+06
       480, 5.862416859E-03, 5.407057771E-03, 1.653627662E-03, 9.999971116E+06
       481, 5.715344084E-03, 5.562406680E-03, 1.653627764E-03, 9.999970816E+06
       482, 5.563229341E-03, 5.712813097E-03, 1.653627613E-03, 9.999971080E+06
       483, 5.408290581E-03, 5.860286891E-03, 1.653627643E-03, 9.999971970E+06
       484, 5.249589566E-03, 6.003732527E-03, 1.653627685E-03, 9.999973334E+06
       485, 5.086033731E-03, 6.141615873E-03, 1.653627624E-03, 9.999974949E+06
       486, 4.919593742E-03, 6.275975730E-03, 1.653627624E-03, 9.999976544E+06
       487, 4.750208067E-03, 6.406634769E-03, 1.653627697E-03, 9.999977941E+06
       488, 4.575963895E-03, 6.530754879E-03, 1.653627665E-03, 9.999978961E+06
       489, 4.494543870E-03, 6.588453540E-03, 1.653627629E-03, 9.999979407E+06
       490, 4.411090059E-03, 6.643166055E-03, 1.653627673E-03, 9.999979739E+06
       491, 4.327645765E-03, 6.697872331E-03, 1.653627642E-03, 9.999980014E+06
       492, 4.244168379E-03, 6.752545812E-03, 1.653627523E-03, 9.999980202E+06
       493, 4.158701861E-03, 6.804061000E-03, 1.653627718E-03, 9.999980336E+06
       494, 4.073253315E-03, 6.855565354E-03, 1.653627674E-03, 9.999980421E+06
       495, 3.987805349E-03, 6.907081327E-03, 1.653627671E-03, 9.999980449E+06
       496, 7.975600457E-03, 9.662700021E-11, 1.860331130E-03, 9.999981339E+06
       497, 7.973731516E-03, 9.916255248E-05, 1.860331100E-03, 9.999981290E+06
       498, 7.971862919E-03, 1.983232601E-04, 1.860331110E-03, 9.999981144E+06
       499, 7.969993928E-03, 2.975048335E-04, 1.860331300E-03, 9.999980910E+06
       500, 7.964484647E-03, 3.965499699E-04, 1.860331122E-03, 9.999980590E+06
       501, 7.958863442E-03, 4.955735302E-04, 1.860331126E-03, 9.999980141E+06
       502, 7.953241346E-03, 5.946127999E-04, 1.860331078E-03, 9.999979604E+06
       503, 7.944174264E-03, 6.933969284E-04, 1.860331123E-03, 9.999978898E+06
       504, 7.923906123E-03, 9.063069287E-04, 1.860331018E-03, 9.999977359E+06
       505, 7.895517225E-03, 1.118288973E-03, 1.860331089E-03, 9.999975385E+06
       506, 7.862549400E-03, 1.329588892E-03, 1.860331119E-03, 9.999973215E+06
       507, 7.825096061E-03, 1.540139941E-03, 1.860331073E-03, 9.999971083E+06
       508, 7.780234862E-03, 1.749227834E-03, 1.860331209E-03, 9.999969390E+06
       509, 7.730178140E-03, 1.957108795E-03, 1.860331146E-03, 9.999968316E+06
       510, 7.676129369E-03, 2.164012419E-03, 1.860331006E-03, 9.999967958E+06
       511, 7.615236889E-03, 2.369017671E-03, 1.860331105E-03, 9.999968182E+06
       512, 7.548779200E-03, 2.572275458E-03, 1.860331124E-03, 9.999968947E+06
       513, 7.477109281E-03, 2.773736514E-03, 1.860331125E-03, 9.999970631E+06
       514, 7.400059959E-03, 2.973208728E-03, 1.860331149E-03, 9.999973524E+06
       515, 7.317688583E-03, 3.170544907E-03, 1.860331113E-03, 9.999977731E+06
       516, 7.230058926E-03, 3.365592065E-03, 1.860331123E-03, 9.999982082E+06
       517, 7.187415080E-03, 3.456066640E-03, 1.860331111E-03, 9.999984526E+06
       518, 7.143314821E-03, 3.545834244E-03, 1.860331080E-03, 9.999986497E+06
       519, 7.098588621E-03, 3.635292130E-03, 1.860331111E-03, 9.999988180E+06
       520, 7.052100729E-03, 3.723847412E-03, 1.860331102E-03, 9.999989424E+06
       521, 7.005316008E-03, 3.812247144E-03, 1.860331122E-03, 9.999990227E+06
       522, 6.956472995E-03, 3.899525971E-03, 1.860331119E-03, 9.999990503E+06
       523, 6.907630062E-03, 3.986804655E-03, 1.860331123E-03, 9.999990249E+06
       524, 6.856696930E-03, 4.072415131E-03, 1.860331146E-03, 9.999989457E+06
       525, 6.805735177E-03, 4.158013920E-03, 1.860331119E-03, 9.999988191E+06
       526, 6.752854170E-03, 4.242436988E-03, 1.860331164E-03, 9.999986458E+06
       527, 6.699618669E-03, 4.326639414E-03, 1.860331116E-03, 9.999984379E+06
       528, 6.644813546E-03, 4.409834002E-03, 1.860331122E-03, 9.999981958E+06
       529, 6.589341332E-03, 4.492583324E-03, 1.860331124E-03, 9.999979403E+06
       530, 6.532641812E-03, 4.574498851E-03, 1.860331123E-03, 9.999976503E+06
       531, 6.407601019E-03, 4.748056838E-03, 1.860331125E-03, 9.999971801E+06
       532, 6.277945771E-03, 4.918202329E-03, 1.860331133E-03, 9.999967787E+06
       533, 6.143769881E-03, 5.084810969E-03, 1.860331135E-03, 9.999965328E+06
       534, 6.005177283E-03, 5.247753731E-03, 1.860331085E-03, 9.999963933E+06
       535, 5.862417473E-03, 5.407057107E-03, 1.860331125E-03, 9.999963211E+06
       536, 5.715344398E-03, 5.562406354E-03, 1.860331224E-03, 9.999962889E+06
       537, 5.563229454E-03, 5.712812986E-03, 1.860331072E-03, 9.999963157E+06
       538, 5.408290418E-03, 5.860287039E-03, 1.860331102E-03, 9.999964107E+06
       539, 5.249589276E-03, 6.003732789E-03, 1.860331144E-03, 9.999965568E+06
       540, 5.086033375E-03, 6.141616170E-03, 1.860331082E-03, 9.999967306E+06
       541, 4.919593125E-03, 6.275976206E-03, 1.860331083E-03, 9.999969045E+06
       542, 4.750207027E-03, 6.406635571E-03, 1.860331156E-03, 9.999970585E+06
       543, 4.575962619E-03, 6.530755787E-03, 1.860331123E-03, 9.999971728E+06
       544, 4.494542497E-03, 6.588454441E-03, 1.860331086E-03, 9.999972240E+06
       545, 4.411088593E-03, 6.643167016E-03, 1.860331132E-03, 9.999972617E+06
       546, 4.327644637E-03, 6.697873071E-03, 1.860331105E-03, 9.999972937E+06
       547, 4.244167425E-03, 6.752546388E-03, 1.860330984E-03, 9.999973164E+06
       548, 4.158701436E-03, 6.804061256E-03, 1.860331177E-03, 9.999973322E+06
       549, 4.073253114E-03, 6.855565475E-03, 1.860331132E-03, 9.999973426E+06
       550, 3.987805977E-03, 6.907082421E-03, 1.860331130E-03, 9.999973465E+06
       551, 7.975600453E-03, 9.179565017E-11, 2.067034589E-03, 9.999972867E+06
       552, 7.973731516E-03, 9.916253827E-05, 2.067034560E-03, 9.999972812E+06
       553, 7.971862909E-03, 1.983237518E-04, 2.067034572E-03, 9.999972656E+06
       554, 7.969993921E-03, 2.975051854E-04, 2.067034760E-03, 9.999972407E+06
       555, 7.964484606E-03, 3.965506808E-04, 2.067034581E-03, 9.999972056E+06
       556, 7.958863417E-03, 4.955739647E-04, 2.067034585E-03, 9.999971574E+06
       557, 7.953241329E-03, 5.946130995E-04, 2.067034536E-03, 9.999971005E+06
       558, 7.944174254E-03, 6.933970333E-04, 2.067034581E-03, 9.999970247E+06
       559, 7.923906185E-03, 9.063062731E-04, 2.067034476E-03, 9.999968606E+06
       560, 7.895517434E-03, 1.118287412E-03, 2.067034549E-03, 9.999966511E+06
       561, 7.862549880E-03, 1.329586133E-03, 2.067034580E-03, 9.999964227E+06
       562, 7.825096886E-03, 1.540136096E-03, 2.067034533E-03, 9.999962007E+06
       563, 7.780235879E-03, 1.749223094E-03, 2.067034668E-03, 9.999960244E+06
       564, 7.730179545E-03, 1.957103308E-03, 2.067034606E-03, 9.999959138E+06
       565, 7.676131221E-03, 2.164005989E-03, 2.067034467E-03, 9.999958787E+06
       566, 7.615239131E-03, 2.369010425E-03, 2.067034563E-03, 9.999959008E+06
       567, 7.548781812E-03, 2.572267663E-03, 2.067034582E-03, 9.999959727E+06
       568, 7.477112024E-03, 2.773728996E-03, 2.067034583E-03, 9.999961337E+06
       569, 7.400062985E-03, 2.973201075E-03, 2.067034607E-03, 9.999964150E+06
