nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure
      3536, 6.211000569E-03, 1.931886489E-03, 1.823421522E-02, 9.997563572E+06
      3537, 6.156744713E-03, 2.097793870E-03, 1.823422211E-02, 9.997576226E+06
      3538, 6.098223512E-03, 2.262246925E-03, 1.823422289E-02, 9.997576363E+06
      3539, 6.035308668E-03, 2.425069439E-03, 1.823422335E-02, 9.997566320E+06
      3540, 5.968046117E-03, 2.586144040E-03, 1.823422343E-02, 9.997553123E+06
      3541, 5.896483952E-03, 2.745354195E-03, 1.823422301E-02, 9.997547330E+06
      3542, 5.861744269E-03, 2.819216991E-03, 1.823421694E-02, 9.997550484E+06
      3543, 5.825675224E-03, 2.892440131E-03, 1.823422156E-02, 9.997559032E+06
      3544, 5.789191354E-03, 2.965457798E-03, 1.823421724E-02, 9.997573050E+06
      3545, 5.751204600E-03, 3.037705354E-03, 1.823422002E-02, 9.997589819E+06
      3546, 5.713002812E-03, 3.109839894E-03, 1.823421775E-02, 9.997606433E+06
      3547, 5.673119921E-03, 3.181059129E-03, 1.823421842E-02, 9.997618843E+06
      3548, 5.633225599E-03, 3.252272568E-03, 1.823421849E-02, 9.997624484E+06
      3549, 5.591767364E-03, 3.321982543E-03, 1.823421842E-02, 9.997621722E+06
      3550, 5.550297502E-03, 3.391684981E-03, 1.823421778E-02, 9.997611522E+06
      3551, 5.507231185E-03, 3.460412074E-03, 1.823422006E-02, 9.997595887E+06
      3552, 5.463935551E-03, 3.528994492E-03, 1.823421738E-02, 9.997578609E+06
      3553, 5.419278055E-03, 3.596697641E-03, 1.823422168E-02, 9.997562755E+06
      3554, 5.374192086E-03, 3.664115906E-03, 1.823421728E-02, 9.997551878E+06
      3555, 5.327962158E-03, 3.730754601E-03, 1.823422326E-02, 9.997546787E+06
      3556, 5.225926911E-03, 3.872414351E-03, 1.823422375E-02, 9.997551415E+06
      3557, 5.120124637E-03, 4.011284166E-03, 1.823422375E-02, 9.997565131E+06
      3558, 5.010631906E-03, 4.147263824E-03, 1.823422334E-02, 9.997577215E+06
      3559, 4.897527479E-03, 4.280254834E-03, 1.823422261E-02, 9.997578835E+06
      3560, 4.781019105E-03, 4.410271957E-03, 1.823421576E-02, 9.997566980E+06
      3561, 4.661021116E-03, 4.537074380E-03, 1.823421805E-02, 9.997545966E+06
      3562, 4.537063763E-03, 4.660011633E-03, 1.823421924E-02, 9.997522185E+06
      3563, 4.410388002E-03, 4.780151928E-03, 1.823423189E-02, 9.997506461E+06
      3564, 4.280939297E-03, 4.897303707E-03, 1.823422652E-02, 9.997502645E+06
      3565, 4.147549997E-03, 5.009944018E-03, 1.823421695E-02, 9.997512266E+06
      3566, 4.011497569E-03, 5.119352886E-03, 1.823422897E-02, 9.997530871E+06
      3567, 3.873131512E-03, 5.225832631E-03, 1.823423687E-02, 9.997555328E+06
      3568, 3.731107122E-03, 5.327378342E-03, 1.823421627E-02, 9.997577844E+06
      3569, 3.664632868E-03, 5.373987191E-03, 1.823423257E-02, 9.997588444E+06
      3570, 3.596790887E-03, 5.418581044E-03, 1.823422515E-02, 9.997596520E+06
      3571, 3.528952283E-03, 5.463172678E-03, 1.823421774E-02, 9.997602996E+06
      3572, 3.460914661E-03, 5.507467355E-03, 1.823422534E-02, 9.997607467E+06
      3573, 3.391383137E-03, 5.549377896E-03, 1.823422110E-02, 9.997610358E+06
      3574, 3.321854898E-03, 5.591286460E-03, 1.823421686E-02, 9.997612053E+06
      3575, 3.252326683E-03, 5.633195065E-03, 1.823421328E-02, 9.997612611E+06
      3576, 6.495835089E-03, 1.511801288E-12, 1.842546049E-02, 9.997537417E+06
      3577, 6.494316727E-03, 8.056665121E-05, 1.842546391E-02, 9.997537051E+06
      3578, 6.492798355E-03, 1.611333007E-04, 1.842546811E-02, 9.997535695E+06
      3579, 6.491279849E-03, 2.417036940E-04, 1.842547232E-02, 9.997533302E+06
      3580, 6.487029978E-03, 3.221764083E-04, 1.842546462E-02, 9.997529491E+06
      3581, 6.482366662E-03, 4.026223255E-04, 1.842547199E-02, 9.997523821E+06
      3582, 6.477703129E-03, 4.830719824E-04, 1.842547936E-02, 9.997516356E+06
      3583, 6.470747432E-03, 5.633564170E-04, 1.842546291E-02, 9.997506387E+06
      3584, 6.453858954E-03, 7.368672321E-04, 1.842548419E-02, 9.997484024E+06
      3585, 6.430981800E-03, 9.096922427E-04, 1.842547552E-02, 9.997459159E+06
      3586, 6.404432436E-03, 1.081983851E-03, 1.842546344E-02, 9.997439363E+06
      3587, 6.373692344E-03, 1.253578373E-03, 1.842547621E-02, 9.997429252E+06
      3588, 6.337083184E-03, 1.424019930E-03, 1.842547836E-02, 9.997433287E+06
      3589, 6.296574155E-03, 1.593572705E-03, 1.842546574E-02, 9.997450145E+06
      3590, 6.252220220E-03, 1.762157337E-03, 1.842546777E-02, 9.997476313E+06
      3591, 6.202582523E-03, 1.929260692E-03, 1.842546229E-02, 9.997499376E+06
      3592, 6.148399495E-03, 2.094945700E-03, 1.842546916E-02, 9.997512699E+06
      3593, 6.089956865E-03, 2.259178342E-03, 1.842546995E-02, 9.997511431E+06
      3594, 6.027126360E-03, 2.421782585E-03, 1.842547041E-02, 9.997498985E+06
